SN,BBMP Zone,Ward Number,Ward Name,Date of identification as Containment zone,Total Number of positive cases,Containment Zone ID,Date of return to normal,Status
158,Yelahanka,3,Atturu,23-07-2020,1,Y-A-697,05-08-2020,EXTENDED
159,Yelahanka,3,Atturu,23-07-2020,1,Y-A-698,05-08-2020,EXTENDED
160,Yelahanka,3,Atturu,23-07-2020,2,Y-A-699,05-08-2020,ACTIVE
161,Yelahanka,3,Atturu,24-07-2020,1,Y-A-736,06-08-2020,ACTIVE
162,Yelahanka,3,Atturu,24-07-2020,1,Y-A-737,06-08-2020,ACTIVE
163,Yelahanka,3,Atturu,25-07-2020,3,Y-A-787,07-08-2020,ACTIVE
164,Yelahanka,3,Atturu,25-07-2020,4,Y-A-789,07-08-2020,ACTIVE
165,Yelahanka,3,Atturu,25-07-2020,3,Y-A-790,07-08-2020,ACTIVE
166,Yelahanka,3,Atturu,25-07-2020,1,Y-A-791,07-08-2020,ACTIVE
167,Yelahanka,3,Atturu,25-07-2020,1,Y-A-792,07-08-2020,ACTIVE
168,Yelahanka,3,Atturu,25-07-2020,1,Y-A-793,07-08-2020,ACTIVE
169,Yelahanka,3,Atturu,26-07-2020,1,Y-A-834,08-08-2020,ACTIVE
170,Yelahanka,3,Atturu,26-07-2020,3,Y-A-835,08-08-2020,ACTIVE
171,Yelahanka,3,Atturu,26-07-2020,1,Y-A-836,08-08-2020,ACTIVE
172,Yelahanka,3,Atturu,26-07-2020,1,Y-A-837,08-08-2020,ACTIVE
173,Yelahanka,3,Atturu,26-07-2020,1,Y-A-839,08-08-2020,ACTIVE
174,Yelahanka,3,Atturu,26-07-2020,1,Y-A-840,08-08-2020,ACTIVE
175,Yelahanka,3,Atturu,26-07-2020,1,Y-A-841,08-08-2020,ACTIVE
176,Yelahanka,3,Atturu,27-07-2020,2,Y-A-886,09-08-2020,ACTIVE
177,Yelahanka,3,Atturu,27-07-2020,4,Y-A-887,09-08-2020,ACTIVE
178,Yelahanka,3,Atturu,27-07-2020,1,Y-A-888,09-08-2020,ACTIVE
179,Yelahanka,3,Atturu,27-07-2020,1,Y-A-889,09-08-2020,ACTIVE
180,Yelahanka,3,Atturu,29-07-2020,1,Y-A-985,11-08-2020,ACTIVE
