PUBLIC	PUBLIC	PUBLIC	PUBLIC	PUBLIC	PUBLIC	PUBLIC	PUBLIC	PUBLIC	PUBLIC	PUBLIC
DB_LASTUPDATED_SET	S. No	Incident Location	District	State/UT	Date of incident	No. of deaths	Reason of death	Source	Date of publication	Link
SET_APRIL8	3	Bareilly	Bareilly	UP	March 24, 2020	1	Suicide, fear of infection	Outlook	March 24, 2020	https://www.outlookindia.com/newsscroll/corona-scare-drives-youth-to-suicide-third-in-up/1778270
SET_APRIL8	4	Mundesi village	Mathura	UP	April 1, 2020	1	Suicide, fear of infection	Outlook	April 1, 2020	https://www.outlookindia.com/newsscroll/up-farmer-commits-suicide-fearing-coronavirus-infection/1787109
SET_APRIL8	5	Saharanpur	Saharanpur	UP	April 2, 2020	1	Suicide, fear of infection	Outlook	April 2, 2020	https://www.outlookindia.com/newsscroll/corona-scare-drives-govt-employee-to-suicide/1789026
SET_APRIL8	6	Lakhimpur	Lakhimpur	UP	March 31, 2020	1	Suicide, fear of police after escaping quaratine	Outlook	April 2, 2020	https://www.outlookindia.com/newsscroll/corona-scare-drives-govt-employee-to-suicide/1789026
SET_APRIL8	7	Gajendragad	Gadag	Karnataka	April 1, 2020	1	Suicide, fear of infection	Bangalore Mirror	April 1, 2020	https://bangaloremirror.indiatimes.com/news/state/karnataka-farmer-commits-suicide-over-fear-of-being-infected-by-coronavirus/articleshow/74926226.cms
SET_APRIL8	8	Udupi		Karnataka	March 26, 2020	1	Suicide, fear of infection	India Today	March 26, 2020	https://www.indiatoday.in/india/story/karnataka-man-commits-suicide-over-doubts-of-contracting-coronavirus-infection-1659846-2020-03-26
SET_APRIL8	9	Suryapet	Suryapet	Telangana	March 29, 2020	1	Suicide, fear of infection	India Today	March 29, 2020	https://www.indiatoday.in/mail-today/story/telangana-man-commits-suicide-over-fear-of-covid-19-in-suryapet-1660847-2020-03-29
SET_APRIL8	10	Rajanna Siricilla		Telangana	April 1, 2020	1	Suicide, fear of infection	OP India	April 1, 2020	https://www.opindia.com/2020/04/telangana-engineering-student-suicide-covid-19-infection/
SET_APRIL8	11	Maramadakki village	Coimbtore	Tamil Nadu	March 28, 2020	1	Suicide, lonliness, quarantine	TimesOfIndia	March 28, 2020	https://timesofindia.indiatimes.com/city/trichy/man-forced-into-isolation-kills-self-another-feels-suicidal/articleshow/74855110.cms
SET_APRIL8	12	Channarayapatna	Hassan	Karnataka	March 29,2020	1	Suicide, Home Qurantine	Prajaavaani	March 29,2020	https://www.prajavani.net/stories/stateregional/channarayapatnam-a-man-in-quarantine-commits-suicide-715891.html
